5.08 	26.92 	1	1	0	4.1 	0	0	0	0	0	0	5.01 	6	6
5.39 	26.33 	1	1	1	2.8 	0	0	0	0	1	0	5.01 	9	9
5.86 	27.58 	1	1	1	4.1 	0	0	0	0	0	0	5.86 	16	12
5.45 	27.00 	1	1	1	3.8 	0	0	0	0	1	0	5.52 	12	12
5.81 	29.25 	1	1	1	3.5 	170	1	0	1	0	1	0.00 	20	16
4.94 	25.92 	0	0	1	3.8 	0	1	0	0	0	0	5.86 	12	12
5.30 	27.33 	0	0	1	3.5 	0	1	0	0	0	1	6.68 	16	12
4.87 	22.75 	0	0	0	3.8 	0	0	0	0	0	0	5.86 	16	16
5.14 	23.92 	0	0	1	3.8 	0	0	0	0	0	0	6.11 	20	16
5.65 	28.17 	1	1	1	3.8 	850	2	0	0	1	0	5.52 	12	12
5.52 	26.75 	0	0	1	3.8 	0	0	0	0	1	0	5.01 	12	9
5.30 	27.67 	1	1	1	3.1 	815	0	0	0	1	0	0.00 	12	12
5.30 	26.67 	0	0	1	3.4 	0	1	1	0	0	1	4.61 	16	16
4.85 	28.25 	1	1	1	3.9 	0	0	0	1	0	0	5.01 	12	12
5.19 	23.58 	0	0	1	3.7 	550	2	0	0	0	1	5.86 	12	9
5.99 	27.75 	1	1	1	3.0 	0	0	0	0	1	0	5.01 	12	12
5.30 	26.25 	1	1	1	4.3 	0	0	0	0	0	0	6.11 	16	16
5.39 	28.25 	1	1	0	3.7 	790	0	0	1	0	0	5.52 	6	6
5.30 	26.17 	1	1	1	2.9 	0	0	0	0	1	0	4.61 	0	12
4.94 	28.67 	0	0	1	3.8 	845	1	1	0	0	0	5.86 	12	12
5.08 	24.58 	1	1	1	4.2 	0	0	0	0	0	0	5.52 	12	12
5.30 	27.92 	1	1	0	4.0 	0	0	0	0	0	0	5.01 	9	9
5.04 	25.67 	0	0	0	3.5 	0	0	0	1	0	0	6.11 	14	12
5.80 	25.42 	0	0	1	3.7 	0	0	2	0	0	0	5.86 	16	12
